الرقم,الفئة,العربية,الأمهرية,النطق
2505,التعليم,هل لديك ورقة بيضاء؟,ነጭ ወረቀት አለህ?,نِچْ وِرِقِتْ ألِهْ؟
2506,التعليم,أحضر دفتر الملاحظات.,ማስታወሻ ደብተሩን አምጣ,مَاسْتَوِشَا دِبْتِرُونْ أمْطَا
2507,التعليم,البيولوجيا مادة مثيرة.,ባዮሎጂ አስደሳች ትምህርት ነው,بَايُولُجِي أسْدِسَاشْ تِمِهْرْتْ نَوْ
2508,التعليم,الفيزياء صعبة.,ፊዚክስ ይከብዳል,فِيزِكْسْ يِكِبْدَالْ
2509,التعليم,أنا أتعلم لغة جديدة.,አዲስ ቋንቋ እየተማርኩ ነው,أدِيسْ قْوَانْقْوَا إِيِتِمَارْكُو نَوْ
2510,التعليم,المدرسة الابتدائية.,የመጀመሪያ ደረጃ ትምህርት ቤት,يِمِجِمِرِشَا دِرِجَا تِمِهْرْتْ بِيْتْ
2511,التعليم,المدرسة الثانوية.,የሁለተኛ ደረጃ ትምህርት ቤት,يِهولِتِنْيَا دِرِجَا تِمِهْرْتْ بِيْتْ
2512,التعليم,الجامعة كبيرة جداً.,ዩኒቨርሲቲው በጣም ትልቅ ነው,يُونِفِرْسِيتِو بِطَامْ تِلِقْ نَوْ
2513,التعليم,أنا أعمل على مشروعي.,በፕሮጀክቴ ላይ እየሰራሁ ነው,بِبْرُجِكْتِي لَايْ إِيِسِرَاهو نَوْ
2514,التعليم,أنا أحتاج مساعدة.,እርዳታ ያስፈልገኛል,إِرْدَاتَا يَاسْفِلِغِنْيَالْ
2515,التعليم,الاستراحة الآن.,አሁን የእረፍት ጊዜ ነው,أهُنْ يِإِرِفْتْ جِيزِي نَوْ
2516,التعليم,علينا احترام المعلمين.,አስተማሪዎቻችንን ማክበር አለብን,أسْتِمَارِيوتْشَاشِنْ مَاكْبِرْ ألِبِنْ
2517,التعليم,نتائج الاختبارات.,የፈተና ውጤቶች,يِفِتِنَا وِطِيتوتْشْ
2518,التعليم,أنا حصلت على درجة جيدة.,ጥሩ ውጤት አገኘሁ,طُرو وِطِيتْ أغِنْيَهو
2519,التعليم,التفكير النقدي مهم.,ወሳኝ አስተሳሰብ አስፈላጊ ነው,وِسَايْنْ أسْتِسَاسَبْ أسْفِلاَوِي نَوْ
2520,التعليم,التعليم عن بعد.,የርቀት ትምህርት,يِرِقِتْ تِمِهْرْتْ
2521,التعليم,أنا استخدم الحاسوب.,ኮምፒውተር እጠቀማለሁ,كُمْبْيُوتِرْ إِطِقِمَالَهو
2522,التعليم,من هو مدير المدرسة؟,የትምህርት ቤቱ ዳይሬክተሩ ማነው?,يِتِمِهْرْتْ بِيْتو دَايْرِكْتِرُو مَانَوْ؟
2523,التعليم,لنتناقش حول الموضوع.,ስለ ጉዳዩ እንወያይ,سِلِ جُدَايو إنْوِيَايْ
2524,التعليم,أخذت ملاحظات.,ማስታወሻ ያዝኩ,مَاسْتَوِشَا يَازْكُو
2525,التعليم,الواجب مستحق غداً.,የቤት ስራው ነገ መቅረብ አለበት,يِبيتْ سْرَاوْ نِغِ مِقْرِبْ ألِبِتْ
2526,التعليم,لا تتأخر عن الفصل.,ከክፍል እንዳትዘገይ,كِكِفْلْ إنْدَاتْزِغِي
2527,التعليم,أين يمكنني الجلوس؟,የት ልቀመጥ እችላለሁ?,يِتْ لِقِمِطْ إِشِلاَلَهو؟
2528,التعليم,التربية البدنية ممتعة.,ስፖርት አስደሳች ነው,سْبُورْتْ أسْدِسَاشْ نَوْ
2529,التعليم,أنا أشارك في الأنشطة.,በእንቅስቃሴዎች እሳተፋለሁ,بِإنْقِقَاسِوَتْ إِسَاتِفَالَهو
2530,التعليم,التعلم لا يتوقف أبداً.,መማር ፈጽሞ አይቆምም,مِمَارْ فِتْسِمُو آيْقُومِمْ
2531,التعليم,أنا أكتب مقالاً.,ድርሰት እየጻፍኩ ነው,دِرْسِتْ إِيِتْسَافْكُو نَوْ
2532,التعليم,هل لديك سؤال أخير؟,የመጨረሻ ጥያቄ አለህ?,يِمِشِرِشَا طِيَاقِي ألِهْ؟
2533,التعليم,أفكر في دراسة القانون.,ሕግ መማር አስባለሁ,هِغْ مِمَارْ أسْبَالَهو
2534,التعليم,أنا بحاجة إلى تدريب.,ሥልጠና ያስፈልገኛል,سِلْطِنَا يَاسْفِلِغِنْيَالْ
2535,التعليم,المعلم يشجعنا.,አስተማሪው ያበረታታናል,أسْتِمَارِيْو يَابِرِتَاتَانَالْ
2536,التعليم,هيا لنبدأ الدرس.,ኑ ትምህርቱን እንጀምር,نو تِمِهْرْتُونْ إنْجِمِرْ
2537,التعليم,الطلاب أذكياء.,ተማሪዎቹ ጎበዞች ናቸው,تِمَارِيوتْشُو گوبِزُوتْشْ نَاتْشُو
2538,التعليم,يجب أن نركز.,ትኩረት መስጠት አለብን,تِكُورِتْ مِسْطِتْ ألِبِنْ
2539,التعليم,أنا أحاول تحسين خط يدي.,የፊደል አጻጻፌን ለማሻሻል እሞክራለሁ,يِفِيدِلْ أتسَاتْسِفِينْ لَمَاشَاشَالْ إِمُكِرَالَهو
2540,التعليم,هل انتهيت؟,ጨርሰሃል?,چِرِسَهَالْ؟
2541,التعليم,الاستماع مهم جداً.,ማዳመጥ በጣም አስፈላጊ ነው,مَادَامِطْ بِطَامْ أسْفِلاَوِي نَوْ
2542,التعليم,أين مختبر الكيمياء؟,የኬሚስትሪ ላብራቶሪ የት ነው?,يِكِيمِسْتْرِي لَابْرَاتُورِي يِتْ نَوْ؟
2543,التعليم,أنا أدرس بجد كل يوم.,በየቀኑ በትጋት አጠናለሁ,بِ يِقِنُو بِتِغَاتْ أطِنَالَهو
2544,التعليم,التعليم هو مفتاح المستقبل.,ትምህርት የወደፊት ቁልፍ ነው,تِمِهْرْتْ يِوِدِفِيتْ قُلْفْ نَوْ
2545,التعليم,الشهادة الجامعية.,የዩኒቨርሲቲ ዲግሪ,يِيُونِفِرْسِيتِي دِيگْرِي
2546,التعليم,التخصص في الهندسة.,በኢንጂነሪንግ ማጥናት,بِإِنْجِينِرِينْگْ مَاطْنَاْتْ
2547,التعليم,أنا أبحث عن وظيفة.,ስራ እየፈለግኩ ነው,سْرَا إِيِفِلِغْكُو نَوْ
2548,التعليم,لا تنسى أدواتك.,ዕቃዎችህን እንዳትረሳ,إِقَاوُچْهِنْ إنْدَاتْرِسَا
2549,التعليم,من فضلك، كرر الجملة.,እባክህ ዓረፍተ ነገሩን ድገም,إِبَاكِهْ أرِفْتِ نِغِرُونْ دِغِمْ
2550,التعليم,التعلم الذاتي.,በራስ መማር,بِرَاسْ مِمَارْ
2551,التعليم,التعاون مع زملائي.,ከጓደኞቼ ጋር መተባበር,كِگْوَادِنْيُوتْشِي گَارْ مِتِبَابِرْ
2552,التعليم,أنا أقدم عرضاً.,ማቅረቢያ እያቀረብኩ ነው,مَاقْرِبْيَا إِيَاقِرِبْكُو نَوْ
2553,التعليم,الامتحان الشفوي.,የቃል ፈተና,يِقَالْ فِتِنَا
2554,التعليم,الامتحان الكتابي.,የጽሑፍ ፈተና,يِتْسِهُفْ فِتِنَا
2555,التعليم,التعلم عملية طويلة.,መማር ረጅም ሂደት ነው,مِمَارْ رِجِمْ هِيدِتْ نَوْ
2556,التعليم,المشاركة في المناقشة.,በውይይቱ ውስጥ መሳተፍ,بِوِإِيِتُو وِسْطْ مِسَاتِفْ
2557,التعليم,أنا أحضر المحاضرات.,ንግግሮችን እከታተላለሁ,نِگِگْرُوتْشْنْ إِكِتَاتِلَالَهو
2558,التعليم,أنا طالب مجتهد.,ትጉህ ተማሪ ነኝ,تِگُوهْ تِمَارِي نَنْ
2559,التعليم,لدي الكثير لأتعلمه.,የምማረው ብዙ ነገር አለኝ,يِمِمَارَوْ بِزو نِغِرْ ألِنْيْ
2560,التعليم,يجب أن أعمل بجد.,ጠንክሬ መሥራት አለብኝ,طِنْكِرِي مِسْرَاتْ ألِبِنْ
2561,التعليم,هل هناك واجبات إضافية؟,ተጨማሪ የቤት ስራ አለ?,تِچِمَارِي يِبيتْ سْرَا ألِ؟
2562,التعليم,التعليم المجاني.,ነጻ ትምህርት,نِتْسَا تِمِهْرْتْ
2563,التعليم,التعليم الإلزامي.,ግዴታ ትምህርት,گِدِيتَا تِمِهْرْتْ
2564,التعليم,أحتاج إلى قلم رصاص.,እርሳስ ያስፈልገኛል,إِرْسَاسْ يَاسْفِلِغِنْيَالْ
2565,التعليم,المعلم يشرح بوضوح.,አስተማሪው በግልጽ ያስረዳል,أسْتِمَارِيْو بِگِلْتْسْ يَاسْرِدَالْ
2566,التعليم,علينا أن نكون هادئين.,ዝም ማለት አለብን,زِمْ مَالِتْ ألِبِنْ
2567,التعليم,لا تلهو في الفصل.,በክፍል ውስጥ አትጫወት,بِكِفْلْ وِسْطْ أتِچَاوِتْ
2568,التعليم,أنا أحب مادة الفنون.,የስነ-ጥበብ ትምህርትን እወዳለሁ,يِسِنِ-طِبَبْ تِمِهْرْتْنْ إِوَدَالَهو
2569,التعليم,تدريس اللغة الإنجليزية.,እንግሊዝኛ ማስተማር,إنْگْلِيزِنْيَا مَاسْتِمَارْ
2570,التعليم,هذا صعب جداً.,ይሄ በጣም ከባድ ነው,يِهْ بِطَامْ كِبَادْ نَوْ
2571,التعليم,هذا سهل.,ይሄ ቀላል ነው,يِهْ قِلَالْ نَوْ
2572,التعليم,أنا أعمل مع مجموعة.,ከቡድን ጋር እየሰራሁ ነው,كِبُودِنْ گَارْ إِيِسِرَاهو نَوْ
2573,التعليم,المناقشة مفيدة.,ውይይቱ ጠቃሚ ነው,وِإِيِتُو طِقَامِي نَوْ
2574,التعليم,أنا أسجل ملاحظاتي.,ማስታወሻዎቼን እይዛለሁ,مَاسْتَوِشَاوتْشِينْ إِيِيزَالَهو
2575,التعليم,يجب أن أقدم تقريراً.,ሪፖርት ማቅረብ አለብኝ,رِيپُورْتْ مَاقْرِبْ ألِبِنْ
2576,التعليم,ما هي طموحاتك؟,ምኞቶችህ ምንድን ናቸው?,مِزْنْيُوتُوتْشْهْ مِدِنْ نَاتْشُو؟
2577,التعليم,أنا أستعد للاختبار.,ለፈተና እየተዘጋጀሁ ነው,لِفِتِنَا إِيِتِزِجَجْهُ نَوْ
2578,التعليم,متى نأخذ استراحة؟,መቼ ነው እረፍት የምንወስደው?,مِشِي نَوْ إِرِفْتْ يِمِنْوِسْدَوْ؟
2579,التعليم,أنا أبحث في الإنترنت.,ኢንተርኔት ላይ እየፈለግኩ ነው,إِنْتِرْنِيتْ لَايْ إِيِفِلِغْكُو نَوْ
2580,التعليم,التعلم مدى الحياة.,የዕድሜ ልክ ትምህርት,يِإِدْمِي لِكْ تِمِهْرْتْ
2581,التعليم,يجب أن نكون مبدعين.,ፈጣሪዎች መሆን አለብን,فِطَارِيوتْشْ مُهُنْ ألِبِنْ
2582,التعليم,أنا أتدرب على الخطابة.,ንግግርን እየተለማመድኩ ነው,نِگِگِرْنْ إِيِتِلِمَامِدْكُو نَوْ
2583,التعليم,أنا في السنة الأولى.,በመጀመሪያ ዓመት ነኝ,بِمِجِمِرِشَا أَمِتْ نَنْ
2584,التعليم,أنا طالب دراسات عليا.,የድህረ-ምረቃ ተማሪ ነኝ,يِدِهِرِ-مِرِقَا تِمَارِي نَنْ
2585,التعليم,لدي فصل صباحي.,የጠዋት ክፍል አለኝ,يِطِوَاتْ كِفِلْ ألِنْيْ
2586,التعليم,هذه قاعدة مهمة.,ይሄ አስፈላጊ ህግ ነው,يِهْ أسْفِلاَوِي هِغْ نَوْ
2587,التعليم,هل لديك المزيد من الأمثلة؟,ተጨማሪ ምሳሌዎች አለህ?,تِچِمَارِي مِسَالِيوتْشْ ألِهْ؟
2588,التعليم,أنا أقرأ كتاباً جديداً.,አዲስ መጽሐፍ እያነበብኩ ነው,أدِيسْ مِصْحَافْ إِيَانِبَبْكُو نَوْ
2589,التعليم,أنا أكتب واجباتي.,የቤት ስራዎቼን እየጻፍኩ ነው,يِبيتْ سْرَاوتْشِينْ إِيِتْسَافْكُو نَوْ
2590,التعليم,التطور العلمي.,ሳይንሳዊ እድገት,سَايِنْسَاوِي إِدْگِتْ
2591,التعليم,أنا أستعمل قلم الحبر.,እስክርቢቶ እጠቀማለሁ,إِسْكِرْبِيتُو إِطِقِمَالَهو
2592,التعليم,أنا أحضر دروس خصوصية.,የግል ትምህርቶችን እከታተላለሁ,يِگِلْ تِمِهْرْتُوتْشْنْ إِكِتَاتِلَالَهو
2593,التعليم,المعلمة تشجعني.,አስተማሪዋ ታበረታታኛለች,أسْتِمَارِيوا تَابِرِتَاتَانْيَالِچْ
2594,التعليم,يجب أن أكون منضبطاً.,ተግሣጽ ሊኖረኝ ይገባል,تِگْسَاتْسْ لِينُورِنْيْ يِگِبَالْ
2595,التعليم,أنا أتدرب على القواعد.,ሰዋስውን እየተለማመድኩ ነው,سِوَاسِوْنْ إِيِتِلِمَامِدْكُو نَوْ
2596,التعليم,التعليم يفتح الأبواب.,ትምህርት በሮችን ይከፍታል,تِمِهْرْتْ بِرُوتْشْنْ يِكِفْتَالْ
2597,التعليم,ماذا تعلمت اليوم؟,ዛሬ ምን ተማርክ?,زَارِي مِن تِمَارْكْ؟
2598,التعليم,المدرسة بيتنا الثاني.,ትምህርት ቤት ሁለተኛ ቤታችን ነው,تِمِهْرْتْ بِيْتْ هولِتِنْيَا بِيْتَاتْشِنْ نَوْ
2599,التعليم,التعلم هو متعة.,መማር ደስታ ነው,مِمَارْ دِسْتَا نَوْ
2600,التعليم,التكنولوجيا في التعليم.,ቴክኖሎጂ በትምህርት ውስጥ,تِكْنُولُجِي بِتِمِهْرْتْ وِسْطْ
2601,التعليم,أنا أستخدم اللوح الذكي.,ስማርት ቦርድ እጠቀማለሁ,سْمَارْتْ بُورْدْ إِطِقِمَالَهو
2602,التعليم,التعلم الإلكتروني.,ኢ-ትምህርት,إِي-تِمِهْرْتْ
2603,التعليم,المناهج الجديدة.,አዲሱ ሥርዓተ ትምህርት,أدِيسُو سِرِأتِ تِمِهْرْتْ
2604,التعليم,هل يمكننا أن نلعب؟,መጫወት እንችላለን?,مِچَاوِتْ إِنْشِلاَلِنْ؟
2605,التعليم,سؤال وجواب.,ጥያቄና መልስ,طِيَاقِي نَا مِلْسْ
2606,التعليم,التعليم للجميع.,ትምህርት ለሁሉም,تِمِهْرْتْ لِهولُم
2607,التعليم,أنا أدرس التاريخ القديم.,ጥንታዊ ታሪክ አጠናለሁ,طِنْتَاوِي تَارِيكْ أطِنَالَهو
2608,التعليم,أنا أتدرب على التحدث.,መናገርን እየተለማመድኩ ነው,مِناغِرْنْ إِيِتِلِمَامِدْكُو نَوْ
2609,التعليم,أتمنى لك التوفيق.,መልካም ዕድል እመኝልሃለሁ,مِلْكَاْمْ إِدِلْ إِمِنْيِلْهَالَهو
2610,العمل,أبحث عن عمل.,ሥራ እየፈለግኩ ነው።,سيرا إييفيلغكو نو
2611,العمل,ما هي وظيفتك؟,ሥራህ ምንድን ነው?,سيراه ميندين نو؟
2612,العمل,أين تعمل؟,የት ነው የምትሰራው?,ييت نو ييميتسيراو؟
2613,العمل,قدمت سيرتي الذاتية.,ሲቪዬን አስገባሁ።,سيفيين أسغيباهو
2614,العمل,متى موعد المقابلة؟,ቃለ መጠይቁ መቼ ነው?,قاليه ميطويقو ميتشي نو؟
2615,العمل,أحتاج إلى وظيفة.,ሥራ ያስፈልገኛል።,سيرا ياسيفيليغينيا
2616,العمل,هل لديك خبرة؟,ልምድ አለህ?,ليمد أليه؟
2617,العمل,أنا عاطل عن العمل.,ሥራ የለኝም።,سيرا ييلينييم
2618,العمل,لقد حصلت على الوظيفة!,ሥራውን አገኘሁት!,سيراوون أغينييهوت
2619,العمل,ما هو نوع عملك؟,የሥራህ ዓይነት ምንድን ነው?,ييسيراه آيينيت ميندين نو؟
2620,العمل,أنا أعمل بدوام كامل.,የሙሉ ጊዜ እሰራለሁ።,ييمولو غيزي إسيرا ليهو
2621,العمل,أريد عملاً جزئياً.,የትርፍ ጊዜ ሥራ እፈልጋለሁ።,ييتيرف غيزي سيرا إفيلغاليهو
2622,العمل,هل الوظيفة شاغرة؟,ክፍት የሥራ ቦታ አለ?,كيفت ييسيرا بوتا أليه؟
2623,العمل,يجب أن أتقدم بطلب.,ማመልከት አለብኝ።,مامايلكيت أليبيني
2624,العمل,ما هي متطلبات الوظيفة؟,የሥራው መስፈርቶች ምንድን ናቸው?,ييسيراو ميسفيرتوتش ميندين ناتشو؟
2625,العمل,مقابلة العمل كانت جيدة.,የሥራው ቃለ መጠይቅ ጥሩ ነበር።,ييسيراو قاليه ميطويق طورو نيبيّر
2626,العمل,أنا في فترة تجريبية.,በሙከራ ላይ ነኝ።,بيموكيرا لاي نيني
2627,العمل,هل يمكنني العمل من المنزل؟,ከቤት መስራት እችላለሁ?,كيبيت ميسرات إتشيلا ليهو؟
2628,العمل,أين هو المكتب؟,ቢሮው የት ነው?,بيرو ييت نو؟
2629,العمل,أنا موظف جديد.,አዲስ ሰራተኛ ነኝ።,أديس سيراتينا نيني
2630,العمل,ابـدأ العمل الآن.,አሁን ሥራ ጀምር።,أهون سيرا جيمير
2631,العمل,لدي الكثير لأفعله.,ብዙ የሚሠራ አለኝ።,بيزو ييميسيرا ألينيي
2632,العمل,متى ننتهي من هذا؟,ይሄን መቼ እንጨርሳለን?,ييهن ميتشي إنيتچيرسالين؟
2633,العمل,هل أكملت التقرير؟,ሪፖርቱን ጨረስክ?,ريبورتون تشيريسك؟
2634,العمل,لدي اجتماع.,ስብሰባ አለኝ።,سيبسيسا ألينيي
2635,العمل,سأرسل لك بريداً إلكترونياً.,ኢሜይል እልክልሃለሁ።,إيميل إليكيليهاليهو
2636,العمل,نحتاج إلى خطة عمل.,የሥራ ዕቅድ ያስፈልገናል።,ييسيرا إقد ياسيفيليغينال
2637,العمل,سأعود لاحقاً.,ቆይቼ እመለሳለሁ።,قوييتشي إميليساليهو
2638,العمل,هذا عمل صعب.,ይሄ ከባድ ሥራ ነው።,ييه كيّباد سيرا نو
2639,العمل,استراحة الغداء.,የምሳ ዕረፍት።,ييميسا إريفت
2640,العمل,لدينا موعد نهائي اليوم.,ዛሬ የጊዜ ገደብ አለን።,زاريه ييغيزي غيديب ألين
2641,العمل,أعمل بجد.,ጠንክሬ እሰራለሁ።,طينكيريه إسيرا ليهو
2642,العمل,هل انتهى وقت العمل؟,የሥራ ሰዓት አልቋል?,ييسيرا سيئات ألقوال؟
2643,العمل,يجب أن أركز.,ማተኮር አለብኝ።,ما تيكور أليبيني
2644,العمل,هل وصلت الرسالة؟,መልዕክቱ ደረሰ?,ميليئكتو ديرّيسي؟
2645,العمل,ما هي أولويتك؟,ዋናው ቅድሚያህ ምንድን ነው?,وناوو قديمياه ميندين نو؟
2646,العمل,سأبدأ المشروع.,ፕሮጀክቱን እጀምራለሁ።,بروجيكتون إجيميراليهو
2647,العمل,أين ملفاتي؟,ፋይሎቼ የት አሉ?,فايلوتشي ييت ألو؟
2648,العمل,سأقوم بالتدريب.,ሥልጠና እወስዳለሁ።,سيلطّينا إويسي دالهو
2649,العمل,يجب أن أكتب ملاحظات.,ማስታወሻ መያዝ አለብኝ።,ماستاووشا ميياز أليبيني
2650,العمل,أنا مشغول جداً.,በጣም ተጠምጃለሁ።,بيتام تيطيميجاليهو
2651,العمل,هل تحتاج إلى نسخة؟,ኮፒ ያስፈልግሃል?,كوبي ياسيفيليغيهال؟
2652,العمل,العمل يسير على ما يرام.,ሥራው በጥሩ ሁኔታ እየሄደ ነው።,سيراو بيطورو هونيتا إييه هييديه نو
2653,العمل,هل يمكنني استخدام الطابعة؟,ፕሪንተሩን መጠቀም እችላለሁ?,برينتيرون ميتيكم إتشيلا ليهو؟
2654,العمل,يجب أن أصحح الأخطاء.,ስህተቶቹን ማስተካከል አለብኝ።,سيهتيتوتشون ماستيكاكيل أليبيني
2655,العمل,الساعة الآن الثامنة.,አሁን ስምንት ሰዓት ነው።,أهون سيمينت سيئات نو
2656,العمل,أنا أعمل على الكمبيوتر.,ኮምፒውተር ላይ እየሰራሁ ነው።,كمبيوتر لاي إييه سيراهو نو
2657,العمل,تذكر الموعد النهائي.,የጊዜ ገደቡን አስታውስ።,ييغيزي غيديبون أستاوويس
2658,العمل,هذا المشروع انتهى.,ይህ ፕሮጀክት ተጠናቀቀ።,ييه بروجيكت تيتويناقيّقيه
2659,العمل,كم راتبك؟,ደሞዝህ ስንት ነው?,ديموزيه سينت نو؟
2660,العمل,أريد زيادة في الراتب.,የደሞዝ ጭማሪ እፈልጋለሁ።,ييديموز تچيماري إفيلغاليهو
2661,العمل,هل لديك إجازة؟,ዕረፍት አለህ?,إريفت أليه؟
2662,العمل,متى يوم الدفع؟,የመክፈያ ቀን መቼ ነው?,ييميكيفيا قين ميتشي نو؟
2663,العمل,هذا يكسب مالاً جيداً.,ይህ ጥሩ ገንዘብ ያስገኛል።,ييه طورو غينزيب ياسغينيا
2664,العمل,هل هناك مكافأة؟,ቦነስ አለ?,بونس أليه؟
2665,العمل,يجب أن أدفع الضرائب.,ግብር መክፈል አለብኝ።,غيبر ميكفيل أليبيني
2666,العمل,كم ساعة تعمل؟,ስንት ሰዓት ትሰራለህ?,سينت سيئات تيسيرا ليهو؟
2667,العمل,التأمين الصحي مهم.,የጤና መድን አስፈላጊ ነው።,ييطينا ميدين أسفيلاجي نو
2668,العمل,أريد إجازة مرضية.,የሕመም ፈቃድ እፈልጋለሁ።,ييهيميم فيقاد إفيلغاليهو
2669,العمل,لدي خطة تقاعد.,የጡረታ ዕቅድ አለኝ።,ييطوريتا إقد ألينيي
2670,العمل,أنا أعمل ساعات إضافية.,ተጨማሪ ሰዓት እየሰራሁ ነው።,تيتيماري سيئات إييه سيراهو نو
2671,العمل,لم يتم دفع أجري بعد.,ደሞዜ ገና አልተከፈለም።,ديموزي غينا ألتيكيفيليّم
2672,العمل,العمل بأجر شهري.,በወር ደሞዝ መሥራት።,بيوّر ديموز ميسرات
2673,العمل,هل يمكنني الحصول على سلفة؟,ቅድሚያ ገንዘብ ማግኘት እችላለሁ?,قديميا غينزيب ماغنيت إتشيلا ليهو؟
2674,العمل,العمل مقابل عمولة.,ኮሚሽን መሥራት።,كوميشن ميسرات
2675,العمل,ما هي البدلات؟,አበሎቹ ምንድን ናቸው?,أبيّلوتشو ميندين ناتشو؟
2676,العمل,الراتب جيد.,ደሞዙ ጥሩ ነው።,ديموزو طورو نو
2677,العمل,سأحصل على إجازة لمدة أسبوعين.,ለሁለት ሳምንታት ፈቃድ እወስዳለሁ።,هُليت (Hulet)
2678,العمل,هل أحصل على بدل سفر؟,የጉዞ አበል አገኛለሁ?,ييغوزو أبيّل أغيناليهو؟
2679,العمل,من هو مديرك؟,አለቃህ ማን ነው?,أليقاه مان نو؟
2680,العمل,زميلي مجتهد.,የስራ ባልደረባዬ ታታሪ ነው።,ييسيرا بالديريّبايه تاتاري نو
2681,العمل,هل تحدثت مع المشرف؟,ከተቆጣጣሪው ጋር አወራህ?,كيتيقوطاطاريو غار أويراّه؟
2682,العمل,المدير مشغول.,ሥራ አስኪያጁ ተጠምዷል።,سيرا أسكياجو تيطيميجوال
2683,العمل,نحن نعمل كفريق.,እንደ ቡድን እንሰራለን።,إندي بودين إنيسيرا لين
2684,العمل,أعطني رأيك.,አስተያየትህን ስጠኝ።,أستيّايهتين سيطيني
2685,العمل,إنه يتعاون معنا.,ከእኛ ጋር ይተባበራል።,كيئينيّا غار ييتيبيبيرا ل
2686,العمل,لدينا خلاف.,አለመግባባት አለን።,أليميغيباباب ألين
2687,العمل,يجب أن نتدرب سوية.,አብረን ማሰልጠን አለብን።,أبرين ماسيلطين أليبين
2688,العمل,زميلتي تساعدني.,የስራ ባልደረባዬ ትረዳኛለች።,ييسيرا بالديريّبايه تيتيريداينياليتش
2689,العمل,هل يمكنني مقاطعتك؟,ላቋርጥህ እችላለሁ?,لاقواريطيه إتشيلا ليهو؟
2690,العمل,سأطلب إذناً.,ፈቃድ እጠይቃለሁ።,فيقاد إطّييقاليهو
2691,العمل,إنها قائدة عظيمة.,ታላቅ መሪ ነች።,تالاق ميري نيتش
2692,العمل,هذا قرار الإدارة.,ይህ የአስተዳደር ውሳኔ ነው።,ييه ييأسيتيدادر ويسانيه نو
2693,العمل,يجب أن نتفق.,መስማማት አለብን።,ميسِمامات أليبين
2694,العمل,لقد تم ترقيتي.,ከፍ ብያለሁ።,كيف بيّاليهو
2695,العمل,هل يمكنني أن أتصل به؟,ልደውልለት እችላለሁ?,ليديويلوليت إتشيلا ليهو؟
2696,العمل,هو موظف كفؤ.,ብቃት ያለው ሰራተኛ ነው።,بقّات ياليو سيراتينا نو
2697,العمل,نحن بحاجة إلى التوجيه.,መመሪያ ያስፈልገናል።,ميميرييا ياسيفيليغينال
2698,العمل,أنا أحترم زملائي.,ባልደረቦቼን አከብራለሁ።,بالديريّبوتشين أكيبيراليهو
2699,العمل,ما هي طموحاتك المهنية؟,የሥራ ምኞቶችህ ምንድን ናቸው?,ييسيرا مينيو توتشيه ميندين ناتشو؟
2700,العمل,أريد أن أتعلم مهارات جديدة.,አዲስ ክህሎቶችን መማር እፈልጋለሁ።,أديس كيهيلوتوتشين ميمار إفيلغاليهو
2701,العمل,أريد أن أطور نفسي.,ራሴን ማዳበር እፈልጋለሁ።,راسين مادابير إفيلغاليهو
2702,العمل,ما هي فرص النمو؟,የእድገት እድሎች ምንድን ናቸው?,ييئيديغيت إدلوتش ميندين ناتشو؟
2703,العمل,سأغير مساري المهني.,የሥራ መንገዴን እቀይራለሁ።,ييسيرا مينغيدين إقّيييراليهو
2704,العمل,المستقبل مشرق.,የወደፊቱ ብሩህ ነው።,ييووّديفيتو بيروه نو
2705,العمل,أحتاج إلى تدريب إضافي.,ተጨማሪ ሥልጠና ያስፈልገኛል።,تيتيماري سيلطّينا ياسيفيليغينيا
2706,العمل,هذه فرصة جيدة.,ይሄ ጥሩ ዕድል ነው።,ييه طورو إديل نو
2707,العمل,أنا أستقيل.,እየለቀቅኩ ነው።,إييه ليقيّقكو نو
2708,العمل,سأبحث عن وظيفة أفضل.,የተሻለ ሥራ እፈልጋለሁ።,ييتيشالي سيرا إفيلغاليهو
2709,العمل,ما هي خبرتك؟,ልምድህ ምንድን ነው?,ليمديه ميندين نو؟
2710,العمل,أريد أن أكون مديراً.,ሥራ አስኪያጅ መሆን እፈልጋለሁ።,سيرا أسكياج ميهون إفيلغاليهو
2711,العمل,أنا فخور بعملي.,በሥራዬ እኮራለሁ።,بيسيرايي إكّوراليهو
2712,العمل,سأقوم بالتدريس.,አሰልጠናለሁ።,أسيلطيناليهو
2713,العمل,أنا أستثمر في مستقبلي.,በወደፊቴ ላይ ኢንቨስት አደርጋለሁ።,بيووّديفيتاي لاي إنفست أديّرغاليهو
2714,العمل,العمل شاق.,ሥራው ከባድ ነው።,سيراو كيّباد نو
2715,العمل,العمل مفيد.,ሥራው ጠቃሚ ነው።,سيراو طيقامي نو
2716,العمل,أنا أحب عملي.,ሥራዬን እወዳለሁ።,سيرايين إويداليهو
2717,العمل,لا أطيق هذا العمل.,ይህን ሥራ መቋቋም አልችልም።,ييهن سيرا مِقواقوم ألتشيلوم
2718,العمل,يجب أن تكون دقيقاً.,ትክክለኛ መሆን አለብህ።,تيكيكّليّنا ميهون أليبيه
2719,العمل,ما هي ساعات العمل؟,የሥራ ሰዓቶች ምንድን ናቸው?,ييسيرا سيئاتوتش ميندين ناتشو؟
2720,العمل,الجودة مهمة.,ጥራት አስፈላጊ ነው።,طيرات أسفيلاجي نو
2721,العمل,أنا أعمل عن بعد.,በርቀት እሰራለሁ።,بيريقّيت إسيرا ليهو
